instance_id,component_id,task_count,linkable_task_count,candidate_link_count,origin_site_count,destination_site_count,historical_vehicle_count,qualifies_for_vrp
instance_00109,component_0002,5,5,4,2,5,5,False
instance_00110,component_0001,11,5,7,6,10,11,False
instance_00111,component_0002,2,2,1,2,2,2,False
instance_00112,component_0001,12,11,23,6,10,12,True
instance_00113,component_0002,2,2,1,2,2,2,False
instance_00114,component_0001,8,5,3,5,8,8,False
instance_00115,component_0002,1,0,0,1,1,1,False
instance_00116,component_0001,6,5,9,5,6,6,False
instance_00117,component_0002,2,2,1,2,2,2,False
instance_00118,component_0001,4,2,1,4,4,4,False
instance_00119,component_0002,2,2,1,2,2,2,False
instance_00120,component_0001,3,0,0,2,3,3,False
instance_00121,component_0002,2,2,1,2,2,2,False
instance_00122,component_0001,9,6,6,4,9,9,False
instance_00123,component_0002,2,2,1,2,2,2,False
instance_00124,component_0001,6,3,2,5,6,6,False
instance_00125,component_0002,2,0,0,2,2,2,False
instance_00126,component_0001,9,6,8,7,8,8,False
instance_00127,component_0002,2,0,0,2,2,2,False
instance_00128,component_0001,5,4,2,4,5,5,False
instance_00129,component_0001,7,5,4,3,7,7,False
instance_00130,component_0001,9,7,8,4,8,9,False
instance_00131,component_0002,1,0,0,1,1,1,False
instance_00132,component_0001,10,7,15,6,10,9,False
instance_00133,component_0002,1,0,0,1,1,1,False
instance_00134,component_0001,9,8,19,4,8,8,False
instance_00135,component_0002,3,2,1,2,3,3,False
instance_00136,component_0001,12,8,21,7,11,11,False
instance_00137,component_0002,2,2,1,2,2,2,False
instance_00138,component_0001,9,3,2,5,9,9,False
instance_00139,component_0002,3,3,2,2,3,3,False
instance_00140,component_0001,7,7,16,4,5,6,False
instance_00141,component_0002,1,0,0,1,1,1,False
instance_00142,component_0001,13,7,7,7,12,13,False
instance_00143,component_0002,1,0,0,1,1,1,False
instance_00144,component_0001,9,3,2,5,9,9,False
instance_00145,component_0002,2,2,1,2,2,2,False
instance_00146,component_0001,5,3,2,3,5,5,False
instance_00147,component_0001,6,4,6,5,6,5,False
instance_00148,component_0002,1,0,0,1,1,1,False
instance_00149,component_0001,8,7,11,2,7,8,False
instance_00150,component_0001,15,6,12,6,14,14,False
instance_00151,component_0002,5,3,2,1,4,5,False
instance_00152,component_0001,41,18,50,11,32,38,True
instance_00153,component_0002,3,0,0,1,3,3,False
instance_00154,component_0001,38,20,74,11,29,35,True
instance_00155,component_0002,9,6,9,3,7,8,False
instance_00156,component_0001,44,23,61,11,31,42,True
instance_00157,component_0002,10,7,15,4,7,9,False
instance_00158,component_0001,35,19,46,12,23,33,True
instance_00159,component_0002,9,6,11,4,7,7,False
instance_00160,component_0001,40,20,83,13,31,38,True
instance_00161,component_0002,7,5,6,4,7,7,False
instance_00162,component_0001,44,23,51,11,35,42,True
instance_00163,component_0002,7,5,6,3,7,7,False
instance_00164,component_0001,51,20,57,14,42,49,True
instance_00165,component_0002,8,6,5,2,7,7,False
instance_00166,component_0001,45,23,104,14,29,41,True
instance_00167,component_0002,5,0,0,2,5,5,False
instance_00168,component_0001,47,28,124,13,31,42,True
instance_00169,component_0002,8,7,11,3,6,7,False
instance_00170,component_0001,42,19,93,11,31,38,True
instance_00171,component_0002,5,5,6,3,5,4,False
instance_00172,component_0001,41,25,102,11,26,37,True
instance_00173,component_0002,6,4,3,3,4,6,False
instance_00174,component_0001,35,18,86,11,23,30,True
instance_00175,component_0002,3,2,1,2,3,3,False
instance_00176,component_0001,27,20,128,10,13,21,True
instance_00177,component_0002,5,5,9,4,5,4,False
instance_00178,component_0001,16,12,36,9,10,13,True
instance_00179,component_0002,5,4,3,2,4,5,False
instance_00180,component_0001,13,10,33,6,10,11,True
instance_00181,component_0002,9,6,11,5,7,8,False
instance_00182,component_0001,18,13,56,9,11,16,True
instance_00183,component_0002,3,2,1,3,2,3,False
instance_00184,component_0001,13,11,31,8,8,10,True
instance_00185,component_0002,1,0,0,1,1,1,False
instance_00186,component_0001,15,14,39,6,10,14,True
instance_00187,component_0002,2,2,1,2,2,2,False
instance_00188,component_0001,11,9,17,7,9,9,False
instance_00189,component_0002,3,3,3,3,3,3,False
instance_00190,component_0001,9,7,6,2,8,9,False
instance_00191,component_0002,4,3,2,3,4,4,False
instance_00192,component_0001,13,9,26,7,9,11,False
instance_00193,component_0002,2,0,0,1,2,2,False
instance_00194,component_0001,9,4,3,6,9,9,False
instance_00195,component_0002,3,2,1,2,3,3,False
instance_00196,component_0001,14,8,23,8,14,13,False
instance_00197,component_0002,8,4,3,3,4,8,False
instance_00198,component_0001,12,9,27,6,10,10,False
instance_00199,component_0002,2,0,0,1,2,2,False
instance_00200,component_0001,9,6,5,5,8,8,False
instance_00201,component_0002,3,2,1,3,3,2,False
instance_00202,component_0001,14,11,30,7,11,13,True
instance_00203,component_0002,2,0,0,1,2,2,False
instance_00204,component_0001,14,9,10,8,14,14,False
instance_00205,component_0002,3,0,0,3,2,3,False
instance_00206,component_0001,7,2,1,6,7,7,False
instance_00207,component_0002,2,0,0,1,2,2,False
instance_00208,component_0001,14,11,35,6,11,12,True
instance_00209,component_0002,3,2,1,3,3,3,False
instance_00210,component_0001,10,5,6,5,9,9,False
instance_00211,component_0002,2,0,0,1,2,2,False
instance_00212,component_0001,6,5,6,5,4,5,False
instance_00213,component_0002,6,4,3,3,5,6,False
instance_00214,component_0001,22,20,109,8,14,16,True
instance_00215,component_0002,2,2,1,2,2,2,False
instance_00216,component_0001,17,11,40,7,15,16,True
instance_00217,component_0002,3,0,0,2,3,3,False
instance_00218,component_0001,8,0,0,6,7,8,False
instance_00219,component_0002,1,0,0,1,1,1,False
instance_00220,component_0001,7,7,15,3,5,5,False
instance_00221,component_0002,2,0,0,1,2,2,False
instance_00222,component_0001,10,7,13,7,9,10,False
instance_00223,component_0001,5,0,0,3,5,5,False
instance_00224,component_0002,1,0,0,1,1,1,False
